1552 <p>	1556 spa	0.3	sentences-lemmatized_1552
	<p>	0	sentences-lemmatized_1552
capitolo circunstancias	capitulo ~~~ circunstancia pecado	-0.0225	sentences-lemmatized_1552
<p>	<p>	0	sentences-lemmatized_1552
	sumario	-0.3	sentences-lemmatized_1552
<p>	<p>	0	sentences-lemmatized_1552
	circunstancia	-0.3	sentences-lemmatized_1552
	número especie della	-0.3	sentences-lemmatized_1552
	número confesar necesidad muda especie	-0.3	sentences-lemmatized_1552
	número pecado confinança confesar	-0.3	sentences-lemmatized_1552
	circunstancia homicidio fornicacion sagrado confesar vedar ley diverso número circunstancia mentira iocosa aliviar pecado confesar	-0.3	sentences-lemmatized_1552
	número fiesta ayunar oración sagrado	-0.3	sentences-lemmatized_1552
	número proprioa persona religión	-0.3	sentences-lemmatized_1552
	número pecar consciencia	-0.3	sentences-lemmatized_1552
	número corretto pdf circunstancia número pecado número	-0.3	sentences-lemmatized_1552
	pecaodo multipliarse iterar entender crecer número pecado interpolar voluntad ~~~ número	-0.3	sentences-lemmatized_1552
	mudar propósito acabar pecado consideración quotidianas ~~~ número	-0.3	sentences-lemmatized_1552
	confessar penitente mil pecado unir palabra	-0.3	sentences-lemmatized_1552
	circunstancia pecado confesar necesidad	-0.3	sentences-lemmatized_1552
	número ~~~ olvidar confesión confesar tornar confesar pecado ~~~ número	-0.3	sentences-lemmatized_1552
<p>	<p>	0	sentences-lemmatized_1552
pera fundamento distar lho circumstancia pecado mentir tho p hum accidente daquilo pecado	fundamentar desto circunstancia pecado mente derechoa consideret ~~~ pena distinción aut facta ff pena sicut dignum homic interpretar b sec qo	0.139195	sentences-lemmatized_1552
	distinción uve etiam hombre alii anton	-0.3	sentences-lemmatized_1552
	título gerson	-0.3	sentences-lemmatized_1552
	fol 170 quos retulimus príncipe distinción consideret paulus	-0.3	sentences-lemmatized_1552
	aliorum distinción sicut alibi accidentar che pecado	-0.3	sentences-lemmatized_1552
dissemos accidente nenhũa circũstãcia obrar substanciar della	diximos accidentar circunstancia obra substancia della	0.674571	sentences-lemmatized_1552
dissemos quilo pecado pecado muytas vezar obrar si pecado pola circũ pecado ella consistir pecado tãto accidente pecado quantum quilo pecado declarar cuestión distinción consideret seguir alex	diximos pecado pecado obra pecado circunstancia consistir pecado accidentar pecado che pecado declarar in distinción consideret	1.91471	sentences-lemmatized_1552
ales r cuestión 77 artículo z columna	número seguir alexandro halense distinción in cuestión 77 artículo col2	4.88382	sentences-lemmatized_1552
	<p>	0	sentences-lemmatized_1552
z <p> ~~~ circunstancia species contar aquelle verso quis quid ubi quibus auxiliis cur quomodo referido tho	ii circunstancia especie contener versillo f quis quid uve quibus auxiliis cur quomodo referir s thomas f in dicción cuestión artículo	0.641765	sentences-lemmatized_1552
distinción cuestión artículo	versillo a el paludano g in distinción cuestión artículo h f príncipe dicción capitu	2.08	sentences-lemmatized_1552
ajudar maneiro	consideret	0.218182	sentences-lemmatized_1552
verso melhor paudano t distinción cuestión artículo u u príncipe distinción consideret nelle acrecenta quotiens vezar denotar circunstancia multiplicação pecado aly distinción	número ~~~ enel añadir quoties denotar número circunstanci multiplicación pecado in dicción capítulo consideret	0.238785	sentences-lemmatized_1552
p pdf	número	0.12	sentences-lemmatized_1552
<p>	<p>	0	sentences-lemmatized_1552
circũstancias soos aquellas haver confessar necessidade fazen obrar sejão peccados mortae sam mortaes hũa especie sejão mortal mor hum respeito tãben orar muden obrar hũa especie orar comũ opiniam copiosamente distinción consideret tractamos soos aquellas circunstancias qualidade tho y distinción distinción cuestión artículo z cuestión alen maliciar obrar repugnã especialmente aa rezão scoto quaes defender diverso especiaes mandamento	iii destas circunstancia confesar necesidad obra cuyo pecado mortal mortal unir especie mortal respectar hora mudar obra unir especie outra hora común opinión copiosamente alibik k in distinción consideret à número tratar ~~~ circunstancia desta cualidad s thomas in dicción distinción quaestione artículo quaestione allende pdf malicia obra repugnar especialmente a la razón scoto vedar diverso especial mandamiento	0.276641	sentences-lemmatized_1552
dissemos especiaes abastar sejã taes hũ delle incluya quaes ley defender defender homicidio provar en z distinción considerar 74	diximos especial bastar incluir enel ley veda mal veda homicidio probar alibi distinción príncipe número 74 ~~~ corolario desmenuzar	1.2954	sentences-lemmatized_1552
	avisar imprimio declarar herege conciliar tridentino b sessio sub iul cano a el obligado confesar circunstancia muda especie pecado	-0.3	sentences-lemmatized_1552
	entender circunstancia muda especie pecado venial mortal mortal mortal muda venial necesario glosa hombre pena re	-0.3	sentences-lemmatized_1552
