azp1552_ch17_0,"<root><div type=""chapter""><p>"
azp1552_ch17_1,¶ Do ſeptimo mandamento. N ão furtaras. Capit. xvi j̈.
azp1552_ch17_2,"PEra fundamento † das preguntas de ſte mãdam ẽto mandamento di ʒemos. Ho pri meyro que ha hi furto m ẽtal, ⁊ fur to real. Ho m ẽtal he võtade vontade de co meter ho real. Eho real he ſeg ũdo segundo Paulo l. 1. ff. đ fur. .§. 1. In ſtit. de obligat. qu æ ex de li. na ſc. contrata ç ã, ou tratam ẽto engano ſa do alheo cõtra contra võtade vontade do ſe ñor, pera auer a ꝓpriedade, ou po ſ ſi ſ ſam, ou ho v ſo della. Di ſ ſemos (c õtrata ç ã) porq̃ porque ſem ella n ão ha furto real in. d. author=""bragagnolo"" timestamp=""20190408T191343+0200"" comment=""check"" : ainda q̃ que ho ha metal. Di ſ ſemos (do alheo) por q̃ ho tratam ẽto do ſeu, em q̃nto quanto ho he, ou cõ com re ʒ ão cree q̃ que he ſeu, n ão he furto. l. Inter o ẽs .§. Recte. ff. de furt. Acrec ẽtamos ( cõtra contra a võtade vontade do ſe ñor) porq̃ porque ſendo cõ com ſeu c õ ſ ẽ tim ẽto, n ão he furto in d. §. Re cte.. Di ſ ſemos (engano ſo) porq̃ porque ſe ſe fa ʒ por ʒ õbar, ou polo fa ʒer mais e ſperto: t ã pouco he furto. Di ſ ſemos ( ꝑa para auer a ꝓpriedade ou po ſ ſi ſ ſam) porq̃ porque aba ſta q̃rer querer auer alg ũa cou ſa  ſtas ꝑa para q̃ que ſeja furto, ſeg ũdo segundo todos."
azp1552_ch17_3,"† Ho. ij. q̃ que por e ſte mãdam ẽto mandamento, como ẽ em outra ꝑte di ſ ſemos in additio. rep. e Q ñ de c õ ſecr. d. 1. n. 231., nã não ſom ẽte ſe defende o q̃ que ſecretam ẽte ſe toma ao ꝓ ximo cõtra contra ſuav õtade ( q̃ que ꝓpriam ẽte propriamente ſe chama fur to) mas ainda tudo q̃nto quanto ſe toma mal, ⁊mal ſe tẽ tem: ⁊ todo ho d ãno q̃ que inju ſtam ẽte ſe daa: ou porfor ça ou por leys inju ſtas, ou por outras v ſurpa ç ões il licitas c. penale. 14. q. 5. ⁊ tãb ẽ tambem toda võtade vontade deliberada  de tomar, reter, d ãnar, ⁊ v ſurpar illicitam ẽte cõtra contra a v õta  de ſeu dono, porq̃ porque como acima in c. li. n. 8., ⁊ em outra ꝑte in dicta ad diti. n. 233. di ſ ſemos, os pecados da võtade vontade, palaura, ⁊ obra de hũa huma me ſma q̃lidade ſ ã: ainda q̃ que os da soo v õ tade n ão obrig ã a re ſtitui ç ã, como os da obra ⁊ palaura."
azp1552_ch17_4,"† Ho. iij. que apouquidade ⁊ indelibera ç ã e ſcu ſ ã de mortal, a ſ ſi ne ſta, como em toda outra mate ria, ſegundo acima ho di ſ ſemos in. d. c. 11. n. 4. : polo qual quẽ quem furta hũa huma ma ça ã, ainda que ſeja com animo de furtar, n ão pecca mais de venialmente, ſe n ão te ue enren ç ã de furtar cou ſa notauel, nẽ nem de dar d ã no notauel, ſe podera: doutra maneira ſi, ſeg ũdo segundo S. Tho. 2. S æc. q. 66. art. 6. Ant. 2. ꝑ. t. 1. c. 15. §. 1. et Syl. in ro ſa aurea. ca ſu. 38. porque ni ſto n ão tam ſomente ſe tem re ſpeyto ao que ſe toma, mas aa enten ç ão ⁊ v õ tade do que furta: ſegundo S. Hieronymo in c. fin. 14. q. 4. , ao menos quanto ao foro da con ſciencia, como em outra parte ho di ſ ſemos in repet. d. c. fin. . E ſcu ſao porem ainda de venial a ignorancia prouauel, de n ão ſaber q̃ que a cou ſa era alhea, ⁊ a ſua grande nece ſ ſidade, a juy ʒo de bõ bom var ão c. Si quis ꝓ pter nece ſ ſitatem de furt, vbi Pan. &amp; alii : ⁊ tambẽ tambem quãdo quando cree cõ com cau ſa prouauel, que ho ſe ñor da cou ſa ho auera por b ẽ, l. inter o ẽs .§. Recte. ff de furt."
azp1552_ch17_5,"† Mas n ão ſeria e ſcu ſado ſe duuida ſ ſe, ou ſem cau ſa prouauel ho cre ſ ſe d. §. Recte. (ainda q̃ que fo ſ ſe ver dade que ho ſenhor ho aueria por bẽ bem) porq̃ porque fa ʒ o que deuia crer que he mortal, polo que em outra parte di ſ ſemos in c. Si ꝗs aut ẽ. dep œ nit. d. 7. : po ſto que ne ſte ca ſo n ão ſera o brigado a re ſtituir d. §. Recte. &amp; Syl. Fur t ũ. §. 7. . Nem ho e ſcu ſara, ainda q̃ que o vi ſ ſe ho ſenhor da cou ſa ſem lho contradi ʒer, ſe ho deyxa ſ ſe de fa ʒer por temor ou vergonha: Syl. vbi ſu pra ꝑ rl ãm Adr. de re ſti. q. 2. col. 4. ver ſi. Ex quib ꝰ qu ã ſentit ẽt ca iet. in fin. art. fi. q. 62 ⁊ ao contrairo n ão peccaria, mas ſeria obrigado a re ſtituir Arg. ↄ. Pec cat ũ. de re. iur. li. 6. , ſe cree ſe que ho ſenhor era contente, ⁊ tinha cau ſa ſufficiente pera ho creer, ⁊ de ſpois  de ho tornar ſoube ho contrairo. E tambẽ tambem ho e ſcu ſa a condi ç ão ju ſtificatiua, como ſe teue vontade  de tomar, ſe deos ho n ão ouuera defendido Arg. c. Si pro te. de re ſcr. li. 6. &amp; l. Cede re di ẽ. ff. đ verb. ſign. Caiet. in ſ ũ ma verbo. Cogita pe ccata. : ⁊ t ã b ẽ ho propo ſito de tornar o que tomou ao pro puo ſe ñor, que por dereyto ho n ão pode auer, ao menos ſem e ſcandalo: Argu. glo ſing. c. Ius gentium. 1. d. &amp; dict ũ ſing. Inno in c. Olim. 1. de re ſtit. Spoliat. como ſe comprou ao la dr ão ou roubador muy barato o que author=""bragagnolo"" timestamp=""20190408T193032+0200"" comment=""@ Andreas and David: dagger not directly connected to marginal number?""leuaua fur tado ou roubado, pera o tornar a ſeu dono. Tam pouco pecca, quando ho fa ʒ por fim de lhe tirar os in ſtromentos de peccar, como ſe ſecretam ẽte furta ſ ſe as po ſturas ⁊ affeytes aa molher, q̃ que cõ com el las pecca ⁊ prouoca os outros a i ſ ſo: ou a arma ao furio ſo, pera que nã não mate: ou ho dinheiro, ou cartas ao taful, porque n ão jogue: com tanto que conuerta e ſtas cou ſas em proueiro da faʒ ẽda fazenda da quelles a quem as furtou: de maneira que ſe n ão ſiga por i ſ ſo grande e ſcandalo, ſegundo. S. Anto nin. 2. ꝑ. tit. 1. c. 34. §. 2. porque nenh ũa contrata ç ão de ſtas he en gano ſa, a qual ſe requere pera ſer furto. in. 3. p̃ ſup. n. 2."
azp1552_ch17_6,"† Ho iiij. falando de ſta materia mais craro ⁊ bre ue que os outros di ʒemos, que re ſtitui ç ão como aqui ſe toma, he obra da ju ſti ça c õmutatiua:  de ſe tornar ho ſeu a ſeu dono, ou de pagar, ou conten tar ho acreedor do que ſe lhe deue de ſaude, de alma ou corpo, de honrra, fama, ou fa ʒenda. Di ſ ſemos (obra de ju ſti ça) porque a de gra ça ⁊ cor te ſia com q̃ que c õm ũmente h ũs a outros ſe fa ʒem ⁊ d ão muytas cou ſas, ſem obriga ç ã da ju ſti ça, por amor, charidade, mi ſericordia, ou agradecim ẽto, ho ſpedando, conuidando, dando pre ſentes, ⁊ fa ʒendo merces, ou ſerui ços gracio ſos, n ão ſam re ſtitui ç ões. Di ſ ſemos (c õmutatiua) porque como di ʒ S. Thom. recebido, 2. S æ. q. 61. ar. 1. &amp;. 62 art. 1. requere igualdade ẽtre entre o que ſe re ſtitue de hũa huma parte, ⁊ do que ſe deue da outra: porque n ão he obra de ju ſti ça di ſtribu tiua, que parte ho comũ comum entre os particulares."
azp1552_ch17_7,"† Di ſ ſemos (de tornar ho ſeu a ſeu dono) pera ſi gnificar que conforme ao dito de ſancto Ago ſti nho c. Si res ali ena 14. q. 6. ⁊ de Innocencio. iij. c. S æpe de re ſt. ſpol. ⁊ a tudo o q̃ que os dou tores di ʒem ſobre ſeus ditos, ⁊ Caietano viro loco ſupre cita to. em ou tras partes: qualq̃r qualquer que tem cou ſa alhea cõtra contra a v õtade de ſeu dono, he obrigado a re ſtituila: ain da que de hũa huma maneira ho ſera ſe ha ouue ⁊ teue c õ boa ſe, ⁊ doutra ſe cõ com maa: porq̃ porque ſe cõ com boa fee ( cuydãdo cuydando que a tomaua ⁊ tinha ju ſtam ẽte), n ão he obrigado a re ſtituila, ſe a perdeo ou ga ſtou ſ ẽ sem engano l. Quod te mihi. ff. de reb. ei ed. cum cian not., ⁊ ſe n ão ſe fe ʒ mais rico cõ com ella: po ſto q̃ ſeria obrigado a re ſtituyr ame ſma cou ſa ſe a te ne ſ ſe: ou ho em q̃ que ſe fe ʒ mais rico por ella. l. Sed &amp; ſi. .§. 1. &amp; l. Itẽ Item veni ũt .§. 1. ff. de pe rit. h æred."
azp1552_ch17_8,"† Do qual ſe ſegu ẽ q̃ que quando por doa ç ã, c õpra, ou outro c õtrato ouue ſ ſe auido (ainda com boa fe) alg ũa cou ſa que n ão era do que lha doou ou v ẽdes, obrigado he a re ſtituila ( ſe a tẽ tem) a ſeu do no, como ſe ñor q̃ que he ſeu, ſem lhe tornar ho pre ço que por ella deu l. Mater. &amp; l. Si manci pium. C. de rei vend.: ⁊ tambẽ tambem ſe a comprou ⁊v ẽdeo, obrigado he a re ſtituyr aquilo mais em q̃ que a ven deo: porque ni ſ ſo ſe fe ʒ mays rico Arg. l. Sed &amp; ſi. §. 1. &amp; l. lt ẽ veni ũt .§. 1. ff. de peti. h ære.: ⁊ quanto ao tal tẽ tem ho alheo: po ſto q̃ que ſe a ouuera c õprado ⁊v ẽ dido polo me ſmo pre ço, ou por menor do q̃ que a c õ prou, primeiro q̃ que ſoubera q̃ que era alhea, n ão ſeria o brigado are ſtituyr nada Argu. l. in creditore. &amp; l. C ũ ea. ff. đ euicti., porq̃ porque n ão teria mais q̃ que o ſeu, como ho decrarou bẽ bem Caiet. In ſ ũa. ver bo. Re ſti tutio. cap. 1 &amp; 2. 3 æ. q. 62. artic. 6. per d. l. Sed &amp; ſi. &amp; it ẽ veniunt. o q̃l qual n ão di ſ ſe, q̃ que (ao menos no foro exterior) ſeria obrigado atornar todo ho p̃ ço, ao q̃ que lho c õprou por via de euic ç ão, ſe ſeu dono lho quita ſ ſe."
azp1552_ch17_9,"Segue ſe † tãb ẽ tambem q̃ quẽ quem c õuidado acear, comeo h ũa vitela alhea obrigado he a re ſtituyr tudo o q̃ que comeo, ſe com maa fee ( ſabendo q̃ que era alhea) comeo: ⁊ ſe ho fe ʒ c õ boa fec, ſeraa ſomente obrigado a re ſtituyr, o q̃ por comer ali, forrou em ſua ca ſa, ⁊ nã não q̃nto quanto co meo: ⁊ ſe nenh ũa cou ſa forrou, a nada ſeraa obri gado: porq̃ porque soo o q̃ que forrou lhe ficou da vitela. Se gue ſe tãb ẽ tambem, que quẽ quem v ſou do ve ſtido alheo ( q̃ que cuy daua ſer ſeu) guardando ho ſeu, obrigado ſeraa a lhe pagar lho tal v ſo, ou quanto por ele forrou."
azp1552_ch17_10,"† Segue ſe tambẽ tambem que quem cõ com maa fe ouue, ou teue cou ſa alhea, obrigado hea re ſtituir a mes ma cou ſa, ſe pode: ⁊ ſe n ão outro tanto quanto valia, quando a tomou, ⁊ quanto valeo mais de ſ poys, ainda que ſem ſua culpa ſe aja perdido, ou perecido: porque o que com maa fee trata, ⁊ tem ho alheo, ſempre tarda em ho re ſtituyr, ⁊ em ſeu d ãno perece l. Quod te mihi. ff. de reb. credi. c. Mora. c ñ ei ãnota. de regul. iur. li. 6.. Aquelle ſe di ʒ ter boa fee ne ſta ma teria, que cree ſer ſua a cou ſa, ou daquele, de quẽ quem a recebeo, ou que tinha dereyto pera a alienar, a ĩda que a ſ ſi n ão ſeja c. Si virgo 33. q. 4. glo. in c. Si dili genti. de p̃ ſcript.. N ão he porẽ porem tal, o que du uida, ⁊ ſe affirma em a tal duuida: porq̃ porque a boa fee n ão ſe compadece com a duuida: ainda que ſi, cõ com ho e ſcrupulo, como mais largamente em outra parte ho di ſ ſemos in c. Si ꝗs a ũt. de p œ nit. d. 7. de ſpois de Caiet. ⁊ outros, quando n ão he tal ho e ſcrupulo q̃ que lhe fa ʒ formar con ſciencia q̃ que a tal cou ſa he alhea. Acrec ẽtamos mais nã não difini ç ão (de pagar ou contentar) porq̃ porque n ão ſomente ſe di ʒ re ſtituyr o q̃ que paga, porẽ porem ainda o q̃ que ſem pagar c õt ẽta ao q̃ que deue, l. Si rem. §. Ois. ff. de pign. acti. &amp; l. 1. ff. ꝗ ſa ti ſd. cog. &amp; gl. in verb. Remittat. c. Peccat ũ. de reg. iur. in. 6. como logo ho diremos. Acrecentamos (de ſaude. ⁊c.) ꝑa para ſignifi car q̃ que n ão ſoomente he obrigado a re ſtituya o q̃ que d ãna nos b ẽs da fa ʒenda: mas ainda o que d ãna nos b ẽs da hõrra honrra, fama, dalma Supra eod. c. 14. n. 26. ⁊ do corpo Supra eo. c. 15. n. 19. c ũ ſequ ẽ. em a maneira acima dita, ſegundo todos. In. q. 15. &amp; Ant. 2. author=""bragagnolo"" timestamp=""20190408T193906+0200"" comment=""@ Andreas, David: unreadable...what shall we do? "" t. ti. 2. c. 2."
